order_id,order_date,product,quantity,unit_price,region,salesperson
1001,2024-01-15,Widget A,10,9.99,North,Jane Doe
1002,2024-01-18,Widget B,5,19.99,South,John Smith
1003,2024-02-03,Widget A,7,9.99,East,Jane Doe
1004,2024-02-10,Widget C,3,29.99,West,Emily Jones
1005,2024-03-01,Widget B,12,19.99,North,John Smith
1006,2024-03-15,Widget D,2,99.99,East,Alex Kim
1007,2024-03-20,Widget A,4,9.99,South,Jane Doe
1008,2024-04-05,Widget B,6,19.99,West,John Smith
1009,2024-04-10,Widget C,8,29.99,North,Emily Jones
1010,2024-04-15,Widget E,1,199.99,South,Alex Kim
1011,2024-05-02,Widget A,15,9.99,North,Jane Doe
1012,2024-05-08,Widget B,9,19.99,East,John Smith
1013,2024-05-12,Widget D,3,99.99,West,Alex Kim
1014,2024-06-01,Widget C,11,29.99,South,Emily Jones
1015,2024-06-05,Widget A,6,9.99,East,Jane Doe
1016,2024-06-18,Widget E,2,199.99,North,Alex Kim
1017,2024-07-01,Widget B,7,19.99,West,John Smith
1018,2024-07-10,Widget C,4,29.99,East,Emily Jones
1019,2024-07-12,Widget D,5,99.99,South,Alex Kim
1020,2024-07-20,Widget A,12,9.99,North,Jane Doe
1021,2024-08-02,Widget B,10,19.99,South,John Smith
1022,2024-08-09,Widget C,9,29.99,East,Emily Jones
1023,2024-08-12,Widget D,1,99.99,West,Alex Kim
1024,2024-09-01,Widget A,8,9.99,North,Jane Doe
1025,2024-09-04,Widget B,13,19.99,East,John Smith
1026,2024-09-10,Widget C,2,29.99,South,Emily Jones
1027,2024-09-15,Widget D,4,99.99,West,Alex Kim
1028,2024-09-20,Widget E,3,199.99,North,Alex Kim
1029,2024-10-01,Widget B,11,19.99,South,John Smith
1030,2024-10-05,Widget A,9,9.99,East,Jane Doe
